     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10513,         0,         0,   0.009,pymatching,6b3887565e3757e805edfc173e439ad37d12b606be15ae650acb586492ae476d,"{""base"":""NZ"",""d"":3,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     17681,         2,         0,   0.009,pymatching,c9077a680f8d9c37ddb98211f613a23b26c0cce4ba9e45bc9a550658467593fb,"{""base"":""ZXinterleaved"",""d"":3,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      1297,       327,         0,   0.004,pymatching,ad701bd90efdf6ff3d96bb57a63a348eb37c6b9521324e035a8ec5fbc72b3a00,"{""base"":""NZ"",""d"":3,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.01}",
     19729,         1,         0,   0.009,pymatching,9d90c13f7ced8b4bd7430105da3af6228866e95a7758eb0699a9a6ae6864d08b,"{""base"":""NZ"",""d"":3,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
     15360,         0,         0,   0.011,pymatching,6b3887565e3757e805edfc173e439ad37d12b606be15ae650acb586492ae476d,"{""base"":""NZ"",""d"":3,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     19456,         1,         0,   0.008,pymatching,c9077a680f8d9c37ddb98211f613a23b26c0cce4ba9e45bc9a550658467593fb,"{""base"":""ZXinterleaved"",""d"":3,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      2321,         0,         0,   0.010,pymatching,cc0f2e2189c5f491f313550855751fc03b55f036ad7e9d68ad15c00d63c243f8,"{""base"":""ZXinterleaved"",""d"":3,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      5393,         0,         0,   0.010,pymatching,1be401176bbdb21512fb682c72009d0c7c7e773f05fa8f8745691b84cf252d5f,"{""base"":""ZXinterleaved"",""d"":3,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      3345,         0,         0,   0.011,pymatching,80f621979275b9c102242eb6bbeae31c5f1a851beacdc83ef39bd3b8e410d8f9,"{""base"":""ZXinterleaved"",""d"":3,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      4369,         0,         0,   0.010,pymatching,8df4e37c3d9b194073bac32f7ccd3b3906cf8b3cefb9a50c0f4b514c60cba04b,"{""base"":""ZXinterleaved"",""d"":3,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      4369,         2,         0,   0.011,pymatching,445318c97d524dd97acca154ff9a2c77234610e2e5944d5917577284809a2e48,"{""base"":""ZXinterleaved"",""d"":3,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      5393,         0,         0,   0.009,pymatching,ae902417b5c88215bbd0802c6e24cda864cbfe030cde0c1e51a18d3775eea458,"{""base"":""NZ"",""d"":3,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
     10513,         0,         0,   0.009,pymatching,9d4b19c2ab67e9380c62c57d3f48fa6cdacc94c0b854f628765b99508f8ef021,"{""base"":""NZ"",""d"":3,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
     33792,        10,         0,   0.012,pymatching,9d90c13f7ced8b4bd7430105da3af6228866e95a7758eb0699a9a6ae6864d08b,"{""base"":""NZ"",""d"":3,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      4369,         0,         0,   0.011,pymatching,314da407632e30787936e8b96482db32eb14ea7c5c739e7199f4515573126053,"{""base"":""NZ"",""d"":3,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      4369,         0,         0,   0.010,pymatching,f31f7d00b6e59a3d7239013779e8c9edc8aa9ba0f2df90db8bb162efaf2c6993,"{""base"":""NZ"",""d"":3,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
