     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       256,       106,         0,   0.036,pymatching,b3c787efe49918b7531c4f0931e64dca3d2b9334479883d4d169a85b8204360f,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
        16,         6,         0,   0.004,pymatching,30ccab802e54035ebdb080dfb0d2dea70c2e4e9a96e69b9255bb90d0dda94632,"{""base"":""ZXinterleaved"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
    217088,         9,         0,   0.068,pymatching,839f1f43084835516f23c7bb617e1472924bedbe110d3f5e6543e3beca6fecee,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      4096,         3,         0,   0.128,pymatching,e1edd996b232f9889f35ab25c2db1aad50d860d4ed58fb21049cf589d9ec2803,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
       256,       106,         0,   0.043,pymatching,62312319d941c4a5f1da57e7835e4cc660397868d3869f15f238da40602934d3,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
      3072,         0,         0,   0.013,pymatching,85154c6e8e2a14226ff78b8a1a79d3ef3f5941e096b851c15c5b7d67990f313e,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,         0,         0,   0.012,pymatching,e3c09c237f43b1da8935be1c6b63525558f5a8400354efb8b00739e971f1291d,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
       256,         0,         0,   0.001,pymatching,345b94802ae3f556ad1730a4335ee10699b96bc56ca98761bc97b2b3d52c4a82,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,        86,         0,   0.001,pymatching,f2b95094c9239bb29f107769e3f06b5687e7fe197a532a3a685ee8228a201787,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
        16,         0,         0,   0.000,pymatching,214e0da2d3df78e0f4398031bd464b4482cab65226297b3b8884cd9b67c539c2,"{""base"":""NZ"",""d"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      1024,         0,         0,   0.003,pymatching,f12a06f798b787793faa4421475750c4126ac43bb809da2a2e1c858953dcd3ba,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      1024,       309,         0,   0.029,pymatching,8b05cc12d795be447e868fa36c43dec2cc10a52e82db712efe4657e53fb565e5,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
      1024,         1,         0,   0.007,pymatching,a68e13b0be2fc7eeac2e3724fcf24fbed1ab42cb35d74e447ef740e05d0e56e8,"{""base"":""NZ"",""d"":6,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
     15360,         0,         0,   0.047,pymatching,987f8e5de62f8093e59c7cd125dac39728ea35020444ce589c37cb00743097f4,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
       256,         0,         0,   0.007,pymatching,ca40dddb925c42ce3e809a0ff287b5926e1a8c4f62a098d58ea2a2168e001fe1,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      5120,         0,         0,   0.049,pymatching,39c58009da4cf3d1b152f017890451a33fcdd68ef1a8ef6897412ad7e3d3b839,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
        16,         0,         0,   0.001,pymatching,7fe323cbe87ce15f1ac01db7ede9cc14261e9f56e1821bfa2066e8ca039367e8,"{""base"":""ZXinterleaved"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      1024,         0,         0,   0.011,pymatching,9c0869b1cfb71df2cc7f2c17ca447df430407e09d8979206bb846d8a62c7975c,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      2048,         0,         0,   0.003,pymatching,f53de385bbbf2bdb2985fd2816f907048878c31e14c3fba2c04c3211e491f958,"{""base"":""NZ"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     10240,         0,         0,   0.124,pymatching,cdb360b24c4c4f95fe800b441acad1465e735ffe1219c998ad5006eeed931143,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1024,         0,         0,   0.011,pymatching,e3c09c237f43b1da8935be1c6b63525558f5a8400354efb8b00739e971f1291d,"{""base"":""NZ"",""d"":10,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      6144,         0,         0,   0.037,pymatching,83c5a3c292a95628689b41eaadd77a1337983b91c94d3b8ad26745f42fab0564,"{""base"":""NZ"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      1024,         2,         0,   0.027,pymatching,9169d03cf90db4781b63996aa56be4dd9f5192da7e095bc899af339bf7a8c997,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
    116736,        88,         0,   0.065,pymatching,dabef6d06cdb1d00dcbaad4056d94a7442a6e7374786bf9bea62eba0c12074c6,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
