     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3345,         0,         0,   0.012,pymatching,069e0c8811cdb61cb40033ac836e2591889791f4e8f57c21f50cd0aa130e6d37,"{""base"":""NZ"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
       273,         0,         0,   0.014,pymatching,07ad6694eb3a268fe287ba9fbad6bbd212115809d9540d50e3aed855244bcb44,"{""base"":""ZXinterleaved"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      5120,         0,         0,   0.014,pymatching,069e0c8811cdb61cb40033ac836e2591889791f4e8f57c21f50cd0aa130e6d37,"{""base"":""NZ"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1297,         0,         0,   0.011,pymatching,394b271066d375146d699b64b579d0c9116497f829a28b07b5f6073545ab4332,"{""base"":""ZXinterleaved"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
      1297,         0,         0,   0.014,pymatching,3583d9b0c4fe8b725c7130147ace3082f4a4dd21c24f42056ea03beb65e0875d,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      3072,         0,         0,   0.019,pymatching,394b271066d375146d699b64b579d0c9116497f829a28b07b5f6073545ab4332,"{""base"":""ZXinterleaved"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
      1024,         0,         0,   0.032,pymatching,07ad6694eb3a268fe287ba9fbad6bbd212115809d9540d50e3aed855244bcb44,"{""base"":""ZXinterleaved"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      6144,         0,         0,   0.020,pymatching,069e0c8811cdb61cb40033ac836e2591889791f4e8f57c21f50cd0aa130e6d37,"{""base"":""NZ"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1297,         0,         0,   0.025,pymatching,791126b7ea558555448006a7954f8cccb37ff3061273aea8a0ce015b2a451759,"{""base"":""NZ"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      2048,         0,         0,   0.014,pymatching,3583d9b0c4fe8b725c7130147ace3082f4a4dd21c24f42056ea03beb65e0875d,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      1297,         0,         0,   0.019,pymatching,5d61082846b7210772535648e32c9d77c9df3e983ca2f865f2191f4e0e064c7a,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
      1297,         0,         0,   0.019,pymatching,fa9d68c37765020dad109d7e8312e0ce8dcb12e35ff9ead93c39f9ee50463958,"{""base"":""ZXinterleaved"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
       273,        72,         0,   0.073,pymatching,b8ab03b71d2a4ab0a8f1e5d64f368b8771e158b5d52fe305023c9a6e3f6f97eb,"{""base"":""ZXinterleaved"",""d"":7,""l"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.01}",
      3072,         0,         0,   0.019,pymatching,394b271066d375146d699b64b579d0c9116497f829a28b07b5f6073545ab4332,"{""base"":""ZXinterleaved"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
      1024,         1,         0,   0.018,pymatching,791126b7ea558555448006a7954f8cccb37ff3061273aea8a0ce015b2a451759,"{""base"":""NZ"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      1297,         3,         0,   0.016,pymatching,740e74b0d96f0b6d81f3c09dba31fe4b2958deb9804b16620c011a96d53b9523,"{""base"":""NZ"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
       273,         0,         0,   0.033,pymatching,a90e54937ce401589efd8a361c245bb9f8db334b03db5f426b27c2ded6e14556,"{""base"":""ZXinterleaved"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      1297,         0,         0,   0.026,pymatching,1c5079102cdd2337a0335bd083ba8ce29b7ca78592107ce19d6b6ad6c72dfd1e,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
       273,         5,         0,   0.018,pymatching,969307040f34abdeb665b8670268b8f0ee002b3595c1efc8c46e9811ab88d5f2,"{""base"":""NZ"",""d"":7,""l"":4,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      3072,         0,         0,   0.021,pymatching,3583d9b0c4fe8b725c7130147ace3082f4a4dd21c24f42056ea03beb65e0875d,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
      9216,         0,         0,   0.026,pymatching,069e0c8811cdb61cb40033ac836e2591889791f4e8f57c21f50cd0aa130e6d37,"{""base"":""NZ"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
       273,         1,         0,   0.026,pymatching,b228426a9af52c0e74572620bdc8e7bd6df1d913b87a309c7ab7cf1fa9514c52,"{""base"":""ZXinterleaved"",""d"":7,""l"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      1297,         1,         0,   0.010,pymatching,4600088e6fa952112b41d00879997c2c9bd731cfff01e8a2080da090872ad36c,"{""base"":""ZXinterleaved"",""d"":7,""l"":0,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,         0,         0,   0.032,pymatching,07ad6694eb3a268fe287ba9fbad6bbd212115809d9540d50e3aed855244bcb44,"{""base"":""ZXinterleaved"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      2048,         0,         0,   0.023,pymatching,5d61082846b7210772535648e32c9d77c9df3e983ca2f865f2191f4e0e064c7a,"{""base"":""NZ"",""d"":7,""l"":12,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0005}",
